Производитель;Номер;Наименование;Цена;Кол-во;Срок поставки;Картинка;Картинка 2D
OSRAM ; 2722 ; Лампа подсветки приборной панели. W2W 12.2W W2x4.6d ORIGINAL LINE безцокольная. ; 25; 7 ; в наличии ; https://foto.vdopel.ru/foto/(OSRAM)2722/(OSRAM)2722_01.JPG, https://foto.vdopel.ru/foto/(OSRAM)2722/(OSRAM)2722_02.JPG ;
GM ; 16265074 ; Лампа приборной панели. Фронтера В. (белая) ; 350; 1 ; в наличии ;  ;
GM ; 12767403 ; Лампа 12V-21W красная PR21W ; 370; 1 ; в наличии ; https://foto.vdopel.ru/foto/(GM)12767403/(GM)12767403_01.JPG, https://foto.vdopel.ru/foto/(GM)12767403/(GM)12767403_02.JPG, https://foto.vdopel.ru/foto/(GM)12767403/(GM)12767403_03.JPG ;
GM ; 90511962 ; Лампа подсветки. 0,5W (серая) ; 150; 3 ; в наличии ; https://foto.vdopel.ru/foto/(GM)90511962/(GM)90511962_01.JPG, https://foto.vdopel.ru/foto/(GM)90511962/(GM)90511962_02.JPG, https://foto.vdopel.ru/foto/(GM)90511962/(GM)90511962_03.JPG ;
GM ; 10351679 ; Лампа поворотника. Астра J. PSY24W GM ; 1250; 3 ; в наличии ; https://foto.vdopel.ru/foto/(GM)10351679/(GM)10351679_01.JPG, https://foto.vdopel.ru/foto/(GM)10351679/(GM)10351679_02.JPG, https://foto.vdopel.ru/foto/(GM)10351679/(GM)10351679_03.JPG, https://foto.vdopel.ru/foto/(GM)10351679/(GM)10351679_04.JPG, https://foto.vdopel.ru/foto/(GM)10351679/(GM)10351679_05.JPG ;
GM ; 13579204 ; Лампа фары. 55W HIR2 ; 1790; 3 ; в наличии ; https://foto.vdopel.ru/foto/(GM)13579204/(GM)13579204_01.JPG, https://foto.vdopel.ru/foto/(GM)13579204/(GM)13579204_02.JPG, https://foto.vdopel.ru/foto/(GM)13579204/(GM)13579204_03.JPG, https://foto.vdopel.ru/foto/(GM)13579204/(GM)13579204_04.JPG, https://foto.vdopel.ru/foto/(GM)13579204/(GM)13579204_05.JPG ;
GM ; 13503357 ; Лампа WY21W ; 200; 4 ; в наличии ; https://foto.vdopel.ru/foto/(GM)13503357/(GM)13503357_01.JPG, https://foto.vdopel.ru/foto/(GM)13503357/(GM)13503357_02.JPG, https://foto.vdopel.ru/foto/(GM)13503357/(GM)13503357_03.JPG, https://foto.vdopel.ru/foto/(GM)13503357/(GM)13503357_04.JPG ;
GM ; 90296362 ; Лампа подсветки козырька 12.1,2W ; 120; 8 ; в наличии ;  ;
GM ; 90349349 ; Лампочка в ключ.1,5V 0,9W ; 120; 6 ; в наличии ; https://foto.vdopel.ru/foto/(GM)90349349/(GM)90349349_01.JPG, https://foto.vdopel.ru/foto/(GM)90349349/(GM)90349349_02.JPG, https://foto.vdopel.ru/foto/(GM)90349349/(GM)90349349_03.JPG, https://foto.vdopel.ru/foto/(GM)90349349/(GM)90349349_04.JPG ;
 ; 94372908 ; Лампа подсветки выключателя Монтерей, Кампо ; 50; 2 ; в наличии ; https://foto.vdopel.ru/foto/(GM)94372908/(GM)94372908_01.JPG, https://foto.vdopel.ru/foto/(GM)94372908/(GM)94372908_02.JPG, https://foto.vdopel.ru/foto/(GM)94372908/(GM)94372908_03.JPG, https://foto.vdopel.ru/foto/(GM)94372908/(GM)94372908_04.JPG ;
