Наименование,Производитель,Артикул,Количество,Цена,Партия,Срок поставки (дн.)
Фильтр масляный,TOYOTA,04152YZZA1,10,311.12,1,
Фильтр масляный,TOYOTA,04152YZZA5,10,229.00,1,
Колодки тормозные,TOYOTA,044650K090,3,3618.22,1,
Колодки тормозные дисковые к-т,TOYOTA,0446530050,1,1000.10,1,
Жидкость тормозная TOYOTA DOT4 0.5L,TOYOTA,0882380111,16,348.12,1,
Антифриз Toyota Super LLC -35C 5л розовый готовый,TOYOTA,0888980072,3,3568.75,1,
"Кольца ДВС TOYOTA 2CT, 3C, 3CT STD OIL-цельное",TOYOTA,1301164213,1,6940.74,1,
ПОРШЕНЬ СТД.,TOYOTA,131016205002,2,2875.23,1,
Прокладка впускного коллектора TOYOTA CHASER CRESTA CROWN CROWN MAJESTA DYNA TOYOACE G15 TOYOACE FOR,TOYOTA,1717754021,1,355.55,1,
"Прокладка турбокомпрессора TOYOTA HIACE,HILUX 90-",TOYOTA,1727854021,2,815.65,1,
